Scopus-10-Analyze-Year

"Your query : ((TITLE-ABS-KEY (forensic AND anthropology AND age AND estimation)))"


Number of results : 10

"YEAR",
"2025","22"
"2024","122"
"2023","76"
"2022","85"
"2021","103"
"2020","78"
"2019","112"
"2018","105"
"2017","87"
"2016","92"
"2015","68"
"2014","72"
"2013","59"
"2012","54"
"2011","44"
"2010","41"
"2009","28"
"2008","36"
"2007","22"
"2006","23"
"2005","15"
"2004","9"
"2003","10"
"2002","7"
"2001","10"
"2000","5"
"1999","6"
"1998","6"
"1997","3"
"1996","4"
"1995","3"
"1994","3"
"1993","1"
"1991","2"
"1990","1"
"1986","1"
"1984","3"
"1977","1"
