name,triangles,faces,vertices,edges
307-L,662797,662797,1988391,1988391
1-L,1253165,1253165,3759495,3759495
1-R,1099597,1099597,3298791,3298791
10-L,855234,855234,2565702,2565702
10-R,768887,768887,2306661,2306661
100-L,930983,930983,2792949,2792949
100-R,829628,829628,2488884,2488884
101-L,1157609,1157609,3472827,3472827
101-R,1178545,1178545,3535635,3535635
102-L,1208788,1208788,3626364,3626364
102-R,1442389,1442389,4327167,4327167
103-L,1231381,1231381,3694143,3694143
103-R,1381522,1381522,4144566,4144566
104-L,895481,895481,2686443,2686443
104-R,974678,974678,2924034,2924034
106-L,1001949,1001949,3005847,3005847
106-R,1082461,1082461,3247383,3247383
107-L,1256756,1256756,3770268,3770268
107-R,953252,953252,2859756,2859756
108-R,1145604,1145604,3436812,3436812
109-L,1061573,1061573,3184719,3184719
109-R,937621,937621,2812863,2812863
11-L,802491,802491,2407473,2407473
11-R,568244,568244,1704732,1704732
110-L,989367,989367,2968101,2968101
110-R,1059666,1059666,3178998,3178998
111-L,1126834,1126834,3380502,3380502
111-R,1152339,1152339,3457017,3457017
112-L,1067538,1067538,3202614,3202614
112-R,731484,731484,2194452,2194452
114-L,1126042,1126042,3378126,3378126
114-R,1191276,1191276,3573828,3573828
115-L,1388415,1388415,4165245,4165245
115-R,1444628,1444628,4333884,4333884
116-L,1044383,1044383,3133149,3133149
116-R,1059850,1059850,3179550,3179550
117-L,1047390,1047390,3142170,3142170
117-R,913018,913018,2739054,2739054
118-R,935845,935845,2807535,2807535
119-L,879510,879510,2638530,2638530
119-R,886969,886969,2660907,2660907
120-L,955345,955345,2866035,2866035
120-R,872150,872150,2616450,2616450
121-L,1198720,1198720,3596160,3596160
121-R,1301665,1301665,3904995,3904995
122-L,896631,896631,2689893,2689893
122-R,874561,874561,2623683,2623683
123-L,1038598,1038598,3115794,3115794
123-R,834602,834602,2503806,2503806
124-L,788619,788619,2365857,2365857
124-R,1030873,1030873,3092619,3092619
125-L,1075673,1075673,3227019,3227019
125-R,1034944,1034944,3104832,3104832
126-L,1194977,1194977,3584931,3584931
126-R,1243198,1243198,3729594,3729594
128-L,1018430,1018430,3055290,3055290
128-R,1161103,1161103,3483309,3483309
129-L,1053683,1053683,3161049,3161049
129-R,904367,904367,2713101,2713101
13-R,1124920,1124920,3374760,3374760
130-L,973606,973606,2920818,2920818
130-R,1024052,1024052,3072156,3072156
131-L,900528,900528,2701584,2701584
131-R,955358,955358,2866074,2866074
133-L,1016253,1016253,3048759,3048759
133-R,988189,988189,2964567,2964567
134-L,970742,970742,2912226,2912226
134-R,1019416,1019416,3058248,3058248
136-L,1109780,1109780,3329340,3329340
136-R,1064908,1064908,3194724,3194724
137-L,892861,892861,2678583,2678583
137-R,898689,898689,2696067,2696067
138-L,894547,894547,2683641,2683641
138-R,960652,960652,2881956,2881956
139-L,859358,859358,2578074,2578074
139-R,867463,867463,2602389,2602389
14-L,926513,926513,479963,2779539
14-R,981339,981339,503067,2944017
140-L,794447,794447,2383341,2383341
140-R,890639,890639,2671917,2671917
141-R,876193,876193,2628579,2628579
142-L,1344804,1344804,4034412,4034412
142-R,1279797,1279797,3839391,3839391
143-L,1115789,1115789,3347367,3347367
143-R,1259932,1259932,3779796,3779796
144-L,1088844,1088844,3266532,3266532
144-R,1122504,1122504,3367512,3367512
145-L,964522,964522,2893566,2893566
145-R,712524,712524,2137572,2137572
146-L,786920,786920,2360760,2360760
146-R,683147,683147,2049441,2049441
147-L,823425,823425,2470275,2470275
147-R,826496,826496,2479488,2479488
148-L,1067640,1067640,3202920,3202920
148-R,998467,998467,2995401,2995401
149-L,920865,920865,2762595,2762595
